lambda_nm,band,n_elem,solve_s,worker,A_absorber,A_Au,A_HTL,A_TiO2,A_FTO_total,A_total,A_from_flux,R_implied,energy_residual
760.0,2,103143,407.2,4,0.0,0.007767,0.0,0.0,0.292272,0.300039,0.300736,0.699961,-0.000698
770.0,2,103143,347.6,5,0.0,0.009492,0.0,0.0,0.357758,0.36725,0.368082,0.63275,-0.000832
780.0,2,103143,256.6,0,-0.0,0.011784,0.0,0.0,0.445754,0.457538,0.458548,0.542462,-0.00101
790.0,2,103143,268.9,1,-0.0,0.014933,0.0,0.0,0.541621,0.556553,0.557751,0.443447,-0.001198
800.0,2,103143,253.6,2,-0.0,0.017608,0.0,0.0,0.601158,0.618766,0.620064,0.381234,-0.001299
810.0,2,103143,265.9,3,0.0,0.018364,0.0,0.0,0.580162,0.598526,0.599751,0.401474,-0.001225
820.0,2,103143,262.1,4,0.0,0.016531,-0.0,-0.0,0.49625,0.512781,0.513806,0.487219,-0.001025
830.0,2,103143,307.8,5,0.0,0.014403,-0.0,-0.0,0.404913,0.419315,0.420133,0.580685,-0.000818
840.0,2,103143,268.2,0,-0.0,0.012917,-0.0,-0.0,0.337489,0.350406,0.351073,0.649594,-0.000667
850.0,2,103143,366.8,1,0.0,0.012226,-0.0,0.0,0.299086,0.311312,0.31189,0.688688,-0.000579
860.0,2,103143,308.4,2,-0.0,0.011718,0.0,0.0,0.286591,0.298309,0.298851,0.701691,-0.000542
870.0,2,103143,316.2,3,-0.0,0.012047,-0.0,-0.0,0.296972,0.309019,0.309567,0.690981,-0.000549
880.0,2,103143,254.4,4,-0.0,0.013155,-0.0,0.0,0.330567,0.343723,0.344319,0.656277,-0.000597
890.0,2,103143,269.9,5,0.0,0.015014,0.0,-0.0,0.39078,0.405795,0.406483,0.594205,-0.000689
900.0,2,103143,234.7,0,0.0,0.017463,-0.0,-0.0,0.480277,0.497741,0.498566,0.502259,-0.000826
