ppw,n_elem,solve_s,A_absorber,A_Au,A_HTL,A_TiO2,A_FTO_total,A_total,A_from_flux,energy_residual
3.0,120419,274.3,0.783103,0.00123,-0.0,-0.0,0.215339,0.999672,1.002465,-0.002793
4.0,120868,210.4,0.782888,0.001229,-0.0,-0.0,0.215557,0.999674,1.002467,-0.002793
